"PRACH Index";"Preamble format";"x";"y";"Slot number";"Starting symbol";"Number of PRACH slots within a 60 kHz slot";"number of timedomain PRACH occasions within a PRACH slot";"PRACH duration"
143;B4;1;0;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39;2;1;1;12
144;C0;16;1;4,9,14,19,24,29,34,39;0;2;7;2
145;C0;16;1;3,7,11,15,19,23,27,31,35,39;0;1;7;2
146;C0;8;1;4,9,14,19,24,29,34,39;0;1;7;2
147;C0;8;1;3,7,11,15,19,23,27,31,35,39;0;1;7;2
148;C0;8;1,2;9,19,29,39;0;2;7;2
149;C0;4;1;4,9,14,19,24,29,34,39;0;1;7;2
150;C0;4;1;4,9,14,19,24,29,34,39;0;2;7;2
151;C0;4;1;3,7,11,15,19,23,27,31,35,39;0;1;7;2
152;C0;2;1;7,15,23,31,39;0;2;7;2
153;C0;2;1;4,9,14,19,24,29,34,39;0;1;7;2
154;C0;2;1;4,9,14,19,24,29,34,39;0;2;7;2
155;C0;2;1;3,7,11,15,19,23,27,31,35,39;0;1;7;2
156;C0;1;0;19,39;8;1;3;2
157;C0;1;0;3,5,7;0;1;7;2
158;C0;1;0;24,29,34,39;8;1;3;2
159;C0;1;0;9,19,29,39;8;2;3;2
160;C0;1;0;17,19,37,39;0;1;7;2
161;C0;1;0;9,19,29,39;0;2;7;2
162;C0;1;0;23,27,31,35,39;8;1;3;2
163;C0;1;0;7,15,23,31,39;0;1;7;2
164;C0;1;0;23,27,31,35,39;0;1;7;2
165;C0;1;0;3,5,7,9,11,13;8;1;3;2
166;C0;1;0;4,9,14,19,24,29,34,39;8;1;3;2
167;C0;1;0;4,9,14,19,24,29,34,39;0;1;7;2
168;C0;1;0;13,14,15,29,30,31,37,38,39;8;2;3;2
169;C0;1;0;3,7,11,15,19,23,27,31,35,39;8;1;3;2
170;C0;1;0;3,7,11,15,19,23,27,31,35,39;0;1;7;2
171;C0;1;0;1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39;0;1;7;2
172;C0;1;0;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39;8;1;3;2
173;C2;16;1;4,9,14,19,24,29,34,39;0;2;2;6
174;C2;16;1;3,7,11,15,19,23,27,31,35,39;0;1;2;6
175;C2;8;1;4,9,14,19,24,29,34,39;0;2;2;6
176;C2;8;1;3,7,11,15,19,23,27,31,35,39;0;1;2;6
177;C2;8;1,2;9,19,29,39;0;2;2;6
178;C2;4;1;4,9,14,19,24,29,34,39;0;1;2;6
179;C2;4;1;4,9,14,19,24,29,34,39;0;2;2;6
180;C2;4;1;3,7,11,15,19,23,27,31,35,39;0;1;2;6
181;C2;2;1;7,15,23,31,39;2;2;2;6
182;C2;2;1;4,9,14,19,24,29,34,39;0;1;2;6
183;C2;2;1;4,9,14,19,24,29,34,39;0;2;2;6
184;C2;2;1;3,7,11,15,19,23,27,31,35,39;0;1;2;6
185;C2;1;0;19,39;2;1;2;6
186;C2;1;0;3,5,7;0;1;2;6
187;C2;1;0;24,29,34,39;7;1;1;6
188;C2;1;0;9,19,29,39;7;2;1;6
189;C2;1;0;17,19,37,39;0;1;2;6
190;C2;1;0;9,19,29,39;2;2;2;6
191;C2;1;0;7,15,23,31,39;2;1;2;6
192;C2;1;0;3,5,7,9,11,13;7;1;1;6
193;C2;1;0;23,27,31,35,39;7;2;1;6
194;C2;1;0;23,27,31,35,39;0;1;2;6
195;C2;1;0;4,9,14,19,24,29,34,39;7;2;1;6
196;C2;1;0;4,9,14,19,24,29,34,39;2;1;2;6
197;C2;1;0;13,14,15,29,30,31,37,38,39;7;2;1;6
198;C2;1;0;3,7,11,15,19,23,27,31,35,39;7;1;1;6
199;C2;1;0;3,7,11,15,19,23,27,31,35,39;0;1;2;6
200;C2;1;0;1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39;0;1;2;6
201;C2;1;0;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39;7;1;1;6
202;A1/B1;16;1;4,9,14,19,24,29,34,39;2;1;6;2
203;A1/B1;16;1;3,7,11,15,19,23,27,31,35,39;2;1;6;2
204;A1/B1;8;1;4,9,14,19,24,29,34,39;2;1;6;2
205;A1/B1;8;1;3,7,11,15,19,23,27,31,35,39;2;1;6;2
206;A1/B1;4;1;4,9,14,19,24,29,34,39;2;1;6;2
207;A1/B1;4;1;3,7,11,15,19,23,27,31,35,39;2;1;6;2
208;A1/B1;2;1;4,9,14,19,24,29,34,39;2;1;6;2
209;A1/B1;1;0;19,39;8;1;3;2
210;A1/B1;1;0;9,19,29,39;8;1;3;2
211;A1/B1;1;0;17,19,37,39;2;1;6;2
212;A1/B1;1;0;9,19,29,39;2;2;6;2
213;A1/B1;1;0;23,27,31,35,39;8;1;3;2
214;A1/B1;1;0;7,15,23,31,39;2;1;6;2
215;A1/B1;1;0;23,27,31,35,39;2;1;6;2
216;A1/B1;1;0;4,9,14,19,24,29,34,39;8;1;3;2
217;A1/B1;1;0;4,9,14,19,24,29,34,39;2;1;6;2
218;A1/B1;1;0;3,7,11,15,19,23,27,31,35,39;2;1;6;2
219;A1/B1;1;0;1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39;2;1;6;2
220;A2/B2;16;1;4,9,14,19,24,29,34,39;2;1;3;4
221;A2/B2;16;1;3,7,11,15,19,23,27,31,35,39;2;1;3;4
222;A2/B2;8;1;4,9,14,19,24,29,34,39;2;1;3;4
223;A2/B2;8;1;3,7,11,15,19,23,27,31,35,39;2;1;3;4
224;A2/B2;4;1;4,9,14,19,24,29,34,39;2;1;3;4
225;A2/B2;4;1;3,7,11,15,19,23,27,31,35,39;2;1;3;4
226;A2/B2;2;1;4,9,14,19,24,29,34,39;2;1;3;4
227;A2/B2;1;0;19,39;6;1;2;4
228;A2/B2;1;0;9,19,29,39;6;1;2;4
229;A2/B2;1;0;17,19,37,39;2;1;3;4
230;A2/B2;1;0;9,19,29,39;2;2;3;4
231;A2/B2;1;0;23,27,31,35,39;6;1;2;4
232;A2/B2;1;0;7,15,23,31,39;2;1;3;4
233;A2/B2;1;0;23,27,31,35,39;2;1;3;4
234;A2/B2;1;0;4,9,14,19,24,29,34,39;6;1;2;4
235;A2/B2;1;0;4,9,14,19,24,29,34,39;2;1;3;4
236;A2/B2;1;0;3,7,11,15,19,23,27,31,35,39;2;1;3;4
237;A2/B2;1;0;1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39;2;1;3;4
238;A3/B3;16;1;4,9,14,19,24,29,34,39;2;1;2;6
239;A3/B3;16;1;3,7,11,15,19,23,27,31,35,39;2;1;2;6
240;A3/B3;8;1;4,9,14,19,24,29,34,39;2;1;2;6
241;A3/B3;8;1;3,7,11,15,19,23,27,31,35,39;2;1;2;6
242;A3/B3;4;1;4,9,14,19,24,29,34,39;2;1;2;6
243;A3/B3;4;1;3,7,11,15,19,23,27,31,35,39;2;1;2;6
244;A3/B3;2;1;4,9,14,19,24,29,34,39;2;1;2;6
245;A3/B3;1;0;19,39;2;1;2;6
246;A3/B3;1;0;9,19,29,39;2;1;2;6
247;A3/B3;1;0;17,19,37,39;2;1;2;6
248;A3/B3;1;0;9,19,29,39;2;2;2;6
249;A3/B3;1;0;7,15,23,31,39;2;1;2;6
250;A3/B3;1;0;23,27,31,35,39;2;1;2;6
251;A3/B3;1;0;23,27,31,35,39;2;2;2;6
252;A3/B3;1;0;4,9,14,19,24,29,34,39;2;1;2;6
253;A3/B3;1;0;4,9,14,19,24,29,34,39;2;2;2;6
254;A3/B3;1;0;3,7,11,15,19,23,27,31,35,39;2;1;2;6
255;A3/B3;1;0;1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39;2;1;2;6
